通道一计数表：,,
ID,计数时长(s),计数
1,0.5,6
2,0.5,13
3,0.5,9
4,0.5,13
5,0.5,11
6,0.5,9
7,0.5,13
8,0.5,15
9,0.5,13
10,0.5,12
11,0.5,10
12,0.5,4
13,0.5,3
14,0.5,11
15,0.5,10
16,0.5,7
17,0.5,14
18,0.5,13
19,0.5,6
20,0.5,11
21,0.5,8
22,0.5,6
23,0.5,11
24,0.5,5
25,0.5,10
26,0.5,6
27,0.5,10
28,0.5,5
29,0.5,10
30,0.5,6
31,0.5,6
32,0.5,9
33,0.5,5
34,0.5,12
35,0.5,12
36,0.5,13
37,0.5,11
38,0.5,10
39,0.5,9
40,0.5,5
41,0.5,14
42,0.5,20
43,0.5,14
44,0.5,10
45,0.5,10
46,0.5,9
47,0.5,12
48,0.5,10
49,0.5,13
50,0.5,8
51,0.5,8
52,0.5,11
53,0.5,6
54,0.5,7
55,0.5,9
56,0.5,12
57,0.5,7
58,0.5,9
59,0.5,12
60,0.5,13
61,0.5,12
62,0.5,5
63,0.5,10
64,0.5,9
65,0.5,8
66,0.5,14
67,0.5,15
68,0.5,10
69,0.5,6
70,0.5,16
71,0.5,10
72,0.5,9
73,0.5,11
74,0.5,12
75,0.5,13
76,0.5,8
77,0.5,9
78,0.5,19
79,0.5,12
80,0.5,12
81,0.5,8
82,0.5,10
83,0.5,6
84,0.5,9
85,0.5,10
86,0.5,11
87,0.5,14
88,0.5,10
89,0.5,8
90,0.5,9
91,0.5,11
92,0.5,6
93,0.5,6
94,0.5,8
95,0.5,12
96,0.5,12
97,0.5,5
98,0.5,11
99,0.5,12
100,0.5,12
101,0.5,11
102,0.5,15
103,0.5,6
104,0.5,7
105,0.5,10
106,0.5,12
107,0.5,8
108,0.5,14
109,0.5,13
110,0.5,14
111,0.5,19
112,0.5,10
113,0.5,8
114,0.5,11
115,0.5,8
116,0.5,8
117,0.5,8
118,0.5,9
119,0.5,10
120,0.5,6
121,0.5,12
122,0.5,12
123,0.5,15
124,0.5,11
125,0.5,10
126,0.5,9
127,0.5,12
128,0.5,13
129,0.5,10
130,0.5,13
131,0.5,13
132,0.5,8
133,0.5,11
134,0.5,15
135,0.5,12
136,0.5,7
137,0.5,8
138,0.5,8
139,0.5,10
140,0.5,11
141,0.5,9
142,0.5,9
143,0.5,8
144,0.5,11
145,0.5,10
146,0.5,8
147,0.5,10
148,0.5,15
149,0.5,7
150,0.5,13
151,0.5,7
152,0.5,8
153,0.5,13
154,0.5,10
155,0.5,11
156,0.5,7
157,0.5,17
158,0.5,8
159,0.5,4
160,0.5,9
161,0.5,11
162,0.5,8
163,0.5,3
164,0.5,17
165,0.5,12
166,0.5,5
167,0.5,12
168,0.5,8
169,0.5,12
170,0.5,6
171,0.5,7
172,0.5,9
173,0.5,8
174,0.5,11
175,0.5,16
176,0.5,8
177,0.5,11
178,0.5,9
179,0.5,7
180,0.5,13
181,0.5,15
182,0.5,11
183,0.5,14
184,0.5,7
185,0.5,10
186,0.5,12
187,0.5,7
188,0.5,6
189,0.5,16
190,0.5,19
191,0.5,8
192,0.5,8
193,0.5,11
194,0.5,9
195,0.5,15
196,0.5,14
197,0.5,12
198,0.5,8
199,0.5,10
200,0.5,8
201,0.5,10
202,0.5,9
203,0.5,8
204,0.5,14
205,0.5,7
206,0.5,13
207,0.5,9
208,0.5,8
209,0.5,11
210,0.5,10
211,0.5,6
212,0.5,14
213,0.5,5
214,0.5,9
215,0.5,12
216,0.5,9
217,0.5,7
218,0.5,13
219,0.5,16
220,0.5,8
221,0.5,10
222,0.5,9
223,0.5,10
224,0.5,10
225,0.5,10
226,0.5,9
227,0.5,10
228,0.5,9
229,0.5,5
230,0.5,9
231,0.5,10
232,0.5,9
233,0.5,8
234,0.5,12
235,0.5,15
236,0.5,8
237,0.5,11
238,0.5,7
239,0.5,10
240,0.5,12
241,0.5,6
242,0.5,11
243,0.5,9
244,0.5,6
245,0.5,13
246,0.5,7
247,0.5,10
248,0.5,8
249,0.5,11
250,0.5,4
251,0.5,12
252,0.5,11
253,0.5,11
254,0.5,4
255,0.5,9
256,0.5,12
257,0.5,9
258,0.5,10
259,0.5,4
260,0.5,11
261,0.5,11
262,0.5,12
263,0.5,10
264,0.5,8
265,0.5,15
266,0.5,8
267,0.5,11
268,0.5,9
269,0.5,13
270,0.5,4
271,0.5,11
272,0.5,11
273,0.5,15
274,0.5,6
275,0.5,8
276,0.5,10
277,0.5,9
278,0.5,7
279,0.5,12
280,0.5,8
281,0.5,12
282,0.5,14
283,0.5,11
284,0.5,3
285,0.5,9
286,0.5,11
287,0.5,10
288,0.5,6
289,0.5,11
290,0.5,6
291,0.5,7
292,0.5,9
293,0.5,8
294,0.5,12
295,0.5,7
296,0.5,13
297,0.5,9
298,0.5,5
299,0.5,8
300,0.5,11
301,0.5,9
302,0.5,7
303,0.5,15
304,0.5,11
305,0.5,11
306,0.5,8
307,0.5,10
308,0.5,14
309,0.5,5
310,0.5,18
311,0.5,7
312,0.5,9
313,0.5,6
314,0.5,7
315,0.5,13
316,0.5,13
317,0.5,6
318,0.5,7
319,0.5,11
320,0.5,8
321,0.5,6
322,0.5,16
323,0.5,10
324,0.5,9
325,0.5,10
326,0.5,7
327,0.5,12
328,0.5,12
329,0.5,10
330,0.5,8
331,0.5,12
332,0.5,5
333,0.5,13
334,0.5,9
335,0.5,4
336,0.5,5
337,0.5,13
338,0.5,8
339,0.5,9
340,0.5,9
341,0.5,10
342,0.5,17
343,0.5,11
344,0.5,13
345,0.5,8
346,0.5,9
347,0.5,9
348,0.5,12
349,0.5,11
350,0.5,6
351,0.5,12
352,0.5,10
353,0.5,11
354,0.5,15
355,0.5,14
356,0.5,10
357,0.5,12
358,0.5,13
359,0.5,17
360,0.5,15
361,0.5,13
362,0.5,10
363,0.5,13
364,0.5,13
365,0.5,7
366,0.5,11
367,0.5,5
368,0.5,7
369,0.5,6
370,0.5,17
371,0.5,13
372,0.5,8
373,0.5,6
374,0.5,12
375,0.5,11
376,0.5,14
377,0.5,12
378,0.5,6
379,0.5,10
380,0.5,8
381,0.5,11
382,0.5,11
383,0.5,9
384,0.5,7
385,0.5,6
386,0.5,7
387,0.5,11
388,0.5,11
389,0.5,8
390,0.5,12
391,0.5,15
392,0.5,12
393,0.5,16
394,0.5,9
395,0.5,11
396,0.5,10
397,0.5,6
398,0.5,10
399,0.5,9
400,0.5,8
401,0.5,13
402,0.5,7
403,0.5,18
404,0.5,7
405,0.5,6
406,0.5,3
407,0.5,11
408,0.5,8
409,0.5,14
410,0.5,21
411,0.5,13
412,0.5,14
413,0.5,11
414,0.5,10
415,0.5,9
416,0.5,10
417,0.5,10
418,0.5,8
419,0.5,12
420,0.5,6
421,0.5,8
422,0.5,6
423,0.5,9
424,0.5,10
425,0.5,15
426,0.5,12
427,0.5,8
428,0.5,11
429,0.5,9
430,0.5,8
431,0.5,6
432,0.5,10
433,0.5,9
434,0.5,9
435,0.5,11
436,0.5,10
437,0.5,6
438,0.5,3
439,0.5,9
440,0.5,11
441,0.5,5
442,0.5,12
443,0.5,12
444,0.5,14
445,0.5,9
446,0.5,7
447,0.5,16
448,0.5,8
449,0.5,9
450,0.5,11
451,0.5,8
452,0.5,13
453,0.5,6
454,0.5,6
455,0.5,11
456,0.5,7
457,0.5,8
458,0.5,8
459,0.5,14
460,0.5,8
461,0.5,11
462,0.5,10
463,0.5,11
464,0.5,5
465,0.5,8
466,0.5,6
467,0.5,10
468,0.5,14
469,0.5,11
470,0.5,21
471,0.5,14
472,0.5,10
473,0.5,14
474,0.5,13
475,0.5,7
476,0.5,5
477,0.5,10
478,0.5,11
479,0.5,8
480,0.5,13
481,0.5,7
482,0.5,9
483,0.5,7
484,0.5,15
485,0.5,10
486,0.5,13
487,0.5,13
488,0.5,11
489,0.5,7
490,0.5,9
491,0.5,11
492,0.5,13
493,0.5,12
494,0.5,12
495,0.5,8
496,0.5,7
497,0.5,11
498,0.5,14
499,0.5,12
500,0.5,6
501,0.5,7
502,0.5,9
503,0.5,11
504,0.5,8
505,0.5,16
506,0.5,12
507,0.5,11
508,0.5,12
509,0.5,9
510,0.5,5
511,0.5,8
512,0.5,11
513,0.5,15
514,0.5,9
515,0.5,4
516,0.5,6
517,0.5,11
518,0.5,6
519,0.5,9
520,0.5,11
521,0.5,8
522,0.5,11
523,0.5,9
524,0.5,12
525,0.5,12
526,0.5,8
527,0.5,10
528,0.5,7
529,0.5,11
530,0.5,9
531,0.5,11
532,0.5,7
533,0.5,9
534,0.5,15
535,0.5,7
536,0.5,11
537,0.5,12
538,0.5,7
539,0.5,10
540,0.5,8
541,0.5,7
542,0.5,11
543,0.5,8
544,0.5,9
545,0.5,19
546,0.5,11
547,0.5,2
548,0.5,9
549,0.5,16
550,0.5,9
551,0.5,9
552,0.5,13
553,0.5,11
554,0.5,18
555,0.5,4
556,0.5,7
557,0.5,16
558,0.5,15
559,0.5,10
560,0.5,11
561,0.5,17
562,0.5,11
563,0.5,9
564,0.5,11
565,0.5,7
566,0.5,11
567,0.5,14
568,0.5,7
569,0.5,11
570,0.5,13
571,0.5,8
572,0.5,12
573,0.5,8
574,0.5,11
575,0.5,12
576,0.5,12
577,0.5,12
578,0.5,12
579,0.5,9
580,0.5,8
581,0.5,7
582,0.5,5
583,0.5,4
584,0.5,7
585,0.5,10
586,0.5,16
587,0.5,16
588,0.5,9
589,0.5,7
590,0.5,11
591,0.5,10
592,0.5,11
593,0.5,18
594,0.5,13
595,0.5,14
596,0.5,10
597,0.5,10
598,0.5,8
599,0.5,10
600,0.5,13
601,0.5,9
602,0.5,9
603,0.5,7
604,0.5,17
605,0.5,12
606,0.5,7
607,0.5,7
608,0.5,8
609,0.5,17
610,0.5,15
611,0.5,9
612,0.5,17
613,0.5,6
614,0.5,5
615,0.5,5
616,0.5,11
617,0.5,5
618,0.5,10
619,0.5,15
620,0.5,11
621,0.5,4
622,0.5,16
623,0.5,11
624,0.5,8
625,0.5,13
626,0.5,10
627,0.5,11
628,0.5,12
629,0.5,15
630,0.5,11
631,0.5,11
632,0.5,7
633,0.5,7
634,0.5,10
635,0.5,8
636,0.5,3
637,0.5,6
638,0.5,19
639,0.5,14
640,0.5,7
641,0.5,14
642,0.5,9
643,0.5,10
644,0.5,13
645,0.5,6
646,0.5,10
647,0.5,14
648,0.5,15
649,0.5,6
650,0.5,11
651,0.5,6
652,0.5,11
653,0.5,13
654,0.5,12
655,0.5,6
656,0.5,4
657,0.5,8
658,0.5,12
659,0.5,6
660,0.5,7
661,0.5,12
662,0.5,9
663,0.5,5
664,0.5,10
665,0.5,16
666,0.5,13
667,0.5,9
668,0.5,7
669,0.5,6
670,0.5,9
671,0.5,13
672,0.5,11
673,0.5,13
674,0.5,8
675,0.5,8
676,0.5,7
677,0.5,11
678,0.5,8
679,0.5,14
680,0.5,10
681,0.5,8
682,0.5,6
683,0.5,14
684,0.5,10
685,0.5,11
686,0.5,9
687,0.5,14
688,0.5,10
689,0.5,5
690,0.5,8
691,0.5,14
692,0.5,12
693,0.5,10
694,0.5,11
695,0.5,13
696,0.5,6
697,0.5,13
698,0.5,10
699,0.5,12
700,0.5,13
701,0.5,15
702,0.5,6
703,0.5,7
704,0.5,11
705,0.5,10
706,0.5,11
707,0.5,7
708,0.5,13
709,0.5,14
710,0.5,5
711,0.5,9
712,0.5,7
713,0.5,16
714,0.5,13
715,0.5,13
716,0.5,7
717,0.5,6
718,0.5,8
719,0.5,12
720,0.5,10
721,0.5,10
722,0.5,9
723,0.5,11
724,0.5,9
725,0.5,7
726,0.5,5
727,0.5,9
728,0.5,12
729,0.5,9
730,0.5,9
731,0.5,9
732,0.5,8
733,0.5,10
734,0.5,12
735,0.5,11
736,0.5,13
737,0.5,11
738,0.5,10
739,0.5,12
740,0.5,9
741,0.5,9
742,0.5,10
743,0.5,13
744,0.5,12
745,0.5,14
746,0.5,8
747,0.5,11
748,0.5,7
749,0.5,2
750,0.5,10
751,0.5,8
752,0.5,13
753,0.5,6
754,0.5,8
755,0.5,11
756,0.5,9
757,0.5,10
758,0.5,7
759,0.5,14
760,0.5,11
761,0.5,7
762,0.5,11
763,0.5,12
764,0.5,9
765,0.5,10
766,0.5,8
767,0.5,8
768,0.5,10
769,0.5,11
770,0.5,9
771,0.5,3
772,0.5,7
773,0.5,14
774,0.5,13
775,0.5,8
776,0.5,8
777,0.5,17
778,0.5,5
779,0.5,10
780,0.5,9
781,0.5,7
782,0.5,7
783,0.5,12
784,0.5,9
785,0.5,13
786,0.5,12
787,0.5,7
788,0.5,10
789,0.5,11
790,0.5,9
791,0.5,5
792,0.5,9
793,0.5,12
794,0.5,8
795,0.5,10
796,0.5,6
797,0.5,11
798,0.5,8
799,0.5,11
800,0.5,8
801,0.5,10
802,0.5,10
803,0.5,14
804,0.5,6
805,0.5,9
806,0.5,12
807,0.5,8
808,0.5,14
809,0.5,11
810,0.5,7
811,0.5,6
812,0.5,7
813,0.5,8
814,0.5,12
815,0.5,8
816,0.5,5
817,0.5,7
818,0.5,10
819,0.5,9
820,0.5,9
821,0.5,10
822,0.5,10
823,0.5,17
824,0.5,8
825,0.5,10
826,0.5,5
827,0.5,8
828,0.5,8
829,0.5,10
830,0.5,8
831,0.5,5
832,0.5,17
833,0.5,10
834,0.5,13
835,0.5,12
836,0.5,10
837,0.5,8
838,0.5,3
839,0.5,10
840,0.5,14
841,0.5,14
842,0.5,17
843,0.5,12
844,0.5,6
845,0.5,8
846,0.5,11
847,0.5,9
848,0.5,6
849,0.5,6
850,0.5,12
851,0.5,13
852,0.5,7
853,0.5,9
854,0.5,11
855,0.5,6
856,0.5,13
857,0.5,10
858,0.5,10
859,0.5,9
860,0.5,10
861,0.5,7
862,0.5,7
863,0.5,11
864,0.5,10
865,0.5,8
866,0.5,9
867,0.5,3
868,0.5,18
869,0.5,10
870,0.5,11
